isapercent,mean
0.0,22.2762411523457
2.0,25.250861335176076
4.0,25.02961609783217
6.0,24.407669503502177
8.0,24.636601520007993
10.0,24.981793828108525
12.0,24.921092657017496
14.0,24.43887676359064
16.0,24.13800647548246
18.0,24.39610226690025
20.0,24.24916325312635
22.0,24.2177562754686
24.0,24.07845870351417
26.0,23.613652135368486
28.0,23.653423979636358
30.0,23.438142408435354
32.0,23.399176698159632
34.0,23.534823536424398
36.0,23.604966986218734
38.0,22.972304103246117
40.0,23.61922895255895
42.0,23.84475404256979
44.0,22.885056314313815
46.0,23.720610359681615
48.0,23.53396861569595
50.0,24.65427062788444
52.0,23.628893060984552
54.0,24.272195515529074
56.0,23.29580784955911
58.0,23.858327096603517
60.0,24.088422746790283
62.0,23.922617446961194
64.0,24.040070772220215
66.0,24.65573425884807
68.0,24.103453925088225
70.0,24.66937340561798
72.0,24.90861658406818
74.0,24.45302842567117
76.0,24.95302615785738
78.0,24.861263333600434
80.0,24.964011812397526
82.0,24.301614556309197
84.0,24.3215366457178
86.0,24.059022514770913
88.0,24.263548804843957
90.0,24.12934647476193
92.0,24.182082712312038
94.0,23.224962491161047
96.0,23.13026708515083
98.0,23.080613225030685
100.0,23.781761128433647
