isapercent,mean
0.0,27.998658455964176
2.0,24.617125432278353
4.0,
6.0,27.507895790590872
8.0,27.274080746596656
10.0,28.592276442046497
12.0,27.581661688534798
14.0,27.789154971460494
16.0,30.159706141572784
18.0,30.640604649659203
20.0,29.481426871676135
22.0,29.86560200235882
24.0,30.737356843919706
26.0,31.06935057998314
28.0,30.288593557260494
30.0,29.90436243270068
32.0,29.140734351178327
34.0,32.44666724056167
36.0,29.56505694242017
38.0,31.61475329430984
40.0,31.695690993703312
42.0,29.89275352976379
44.0,32.81670323677485
46.0,33.151680233128104
48.0,31.748001699437502
50.0,33.6583337624743
52.0,32.0660089018421
54.0,32.737166920447436
56.0,34.21754145003333
58.0,32.911060870027946
60.0,31.94847982589803
62.0,33.37993184690343
64.0,31.464252314391995
66.0,33.69472383234621
68.0,35.752160341704986
70.0,34.1649778348019
72.0,34.5694028337244
74.0,34.64235263748407
76.0,34.9815299134551
78.0,35.29257351317548
80.0,34.19266011689328
82.0,34.64734318757402
84.0,35.22633095530741
86.0,35.66642973708102
88.0,34.43517397980107
90.0,34.97046186552788
92.0,36.24921471869228
94.0,36.26103457363201
96.0,35.562719856126925
98.0,35.3348560833907
100.0,35.06500374704
