isapercent,mean
0.0,8.642891389611817
2.0,9.17188007383714
4.0,9.1788618973579
6.0,9.168219325010355
8.0,9.254754555060435
10.0,9.28820904733084
12.0,9.214539012221445
14.0,9.511528306345072
16.0,9.45624838349867
18.0,9.632492030192154
20.0,9.515819652008734
22.0,9.810331391832815
24.0,9.641837188825033
26.0,10.080488106711972
28.0,9.900525872154871
30.0,9.772351196125928
32.0,10.115165889685674
34.0,9.906033130394897
36.0,9.83152137740549
38.0,10.16162757602476
40.0,10.355498592951532
42.0,10.592679215332785
44.0,10.378471055782583
46.0,10.74305718170678
48.0,10.584872415632601
50.0,10.718596138970844
52.0,10.520397948848027
54.0,10.679624025574192
56.0,10.63270680378083
58.0,10.921762644224106
60.0,10.85853876562511
62.0,10.78009236264285
64.0,11.165612343189267
66.0,10.723924775593373
68.0,10.908171669271825
70.0,10.808627027350724
72.0,10.944361989856072
74.0,11.225419170390639
76.0,11.01676785262504
78.0,11.06559408843581
80.0,11.074950043069297
82.0,11.033376290013402
84.0,11.022306613510828
86.0,11.237895564981601
88.0,11.045308748183675
90.0,11.144318344242272
92.0,11.652343812835605
94.0,11.84994454616688
96.0,11.997597476297697
98.0,12.500034069913184
100.0,12.38176294285735
