isapercent,mean
0.0,10.34161687112969
2.0,10.357026775467093
4.0,9.899837310114355
6.0,10.785914324502597
8.0,10.710158775697993
10.0,10.636010818974526
12.0,10.71940355219821
14.0,11.922236803330408
16.0,12.027148306557441
18.0,12.265888362487368
20.0,11.330471901638276
22.0,12.526039333740616
24.0,12.352463168311017
26.0,11.085846083743114
28.0,11.356851778104357
30.0,11.98373063433194
32.0,13.060477684001881
34.0,10.79394952213537
36.0,12.09269625345899
38.0,13.122160944142445
40.0,11.583407590513358
42.0,12.514046924844315
44.0,13.131005152378204
46.0,13.51064404660978
48.0,12.347247112141657
50.0,12.756462455137893
52.0,12.588780061272416
54.0,12.23341657267612
56.0,13.58019733014042
58.0,12.951001655741658
60.0,12.821786424447037
62.0,13.077658154781588
64.0,12.24328430390922
66.0,13.01746827588812
68.0,13.19836811549019
70.0,12.965569415475017
72.0,12.62289823332018
74.0,12.896622665638153
76.0,12.545243392044247
78.0,12.970389335413689
80.0,13.186530589978295
82.0,13.357326542423811
84.0,14.31985479334925
86.0,13.457446623388087
88.0,12.639041988236338
92.0,14.166978403644903
94.0,14.113076766121019
96.0,11.834625739515905
98.0,11.57403271805607
100.0,13.418916078645092
