isapercent,mean
0.0,8.370509564561035
2.0,8.923837238836697
4.0,8.872052215918352
6.0,8.706450655236202
8.0,8.946564189291173
10.0,8.56777615843263
12.0,8.830796824068255
14.0,7.438324238474681
16.0,9.160828423521169
18.0,9.1178253827626
20.0,8.701034448526848
22.0,9.223496336327505
24.0,9.368887475414201
26.0,8.249197893024341
28.0,9.333362402579688
30.0,9.665878680710392
32.0,9.148667806010392
34.0,7.696741386260131
36.0,9.140936088634945
38.0,9.109458426092932
40.0,9.24891354969146
42.0,8.410268021796961
44.0,9.090891619089026
46.0,8.94823907058866
48.0,9.310222276609583
50.0,8.607914081722203
52.0,8.122636352156158
54.0,8.515231164616656
56.0,9.29938373283086
58.0,8.989503786409106
60.0,8.58346085509669
62.0,8.6702012888308
64.0,8.581532224308013
66.0,8.612612213539506
68.0,9.72866528678814
70.0,8.980336806541855
72.0,9.868971261145711
74.0,8.700098299082056
76.0,9.450686948257077
78.0,8.966228296190373
80.0,9.062540782502925
82.0,9.508230678566182
84.0,9.06592062663492
86.0,8.943163741515932
88.0,8.932641673465604
90.0,10.083602466169808
92.0,9.39787104602748
94.0,10.340571818170707
96.0,9.529731740575341
98.0,7.788370039579445
100.0,9.0829463343801
