isapercent,mean
0.0,20.950449820926885
2.0,20.67628847974668
4.0,18.802819391488182
6.0,17.81027349069104
8.0,18.170799296079196
10.0,18.144571760252813
12.0,18.123805440317952
14.0,18.055473883316886
16.0,17.712261443478535
18.0,18.28113198117512
20.0,18.28069849479833
22.0,18.148285500874767
24.0,18.458324181272587
26.0,18.35719600110891
28.0,18.450659809379317
30.0,18.55114998918658
32.0,18.54867793554904
34.0,18.85384443314355
36.0,18.700466583058635
38.0,19.21674991932531
40.0,19.402594829785176
42.0,19.36943225329583
44.0,19.58398282683096
46.0,19.26118350485351
48.0,19.830919552988913
50.0,19.923468792192306
52.0,20.41839204853023
54.0,20.439195859588267
56.0,20.531094569153336
58.0,19.858273426583537
60.0,20.332415400340462
62.0,20.13077405729922
64.0,20.79731069796794
66.0,20.60988090838029
68.0,20.738865681108564
70.0,21.540546498783748
72.0,20.931298220539063
74.0,21.347823284413696
76.0,21.792198449120512
78.0,21.993245359275058
80.0,22.64195158579542
82.0,20.846140911974853
84.0,22.07655952764764
86.0,21.706669264183112
88.0,22.173482484785804
90.0,22.12706393824297
92.0,21.86986110838442
94.0,20.69561572614333
96.0,22.216371418141378
98.0,19.152868720363546
100.0,20.528405310286395
