isapercent,mean
0.0,20.25018545539483
2.0,24.014524170664284
4.0,25.555414787305104
6.0,25.879302733272198
8.0,26.987284640467713
10.0,26.750745887176762
12.0,27.38488338485072
14.0,27.3547632229443
16.0,27.10922911889041
18.0,26.08937394260764
20.0,26.85702586775344
22.0,26.80746456592654
24.0,27.804624564891473
26.0,27.152322284741953
28.0,27.697070287406778
30.0,27.35692642238497
32.0,27.573369444048886
34.0,27.59284042413319
36.0,27.924019952248106
38.0,28.78325424294054
40.0,28.808492652404407
42.0,28.701500603830276
44.0,29.247642544171953
46.0,29.05525908449041
48.0,29.922471720006843
50.0,29.994399737352882
52.0,29.414443708868276
54.0,29.87164364852134
56.0,29.942910581515857
58.0,29.89456194633433
60.0,30.502853307342363
62.0,29.801481028815676
64.0,30.56266911742444
66.0,30.744168795257572
68.0,31.723199744734718
70.0,31.148297953124036
72.0,31.18628592725393
74.0,31.268909985052268
76.0,31.67536007726273
78.0,31.058980186717765
80.0,31.27541830381553
82.0,31.254603194645437
84.0,31.271308952913213
86.0,31.161025712646932
88.0,31.487178332747987
90.0,30.794351751579534
92.0,31.33993470235679
94.0,32.17951074371139
96.0,32.136711655002
98.0,31.497311008446257
100.0,31.12708863957564
