isapercent,mean
0.0,18.515099568155204
2.0,17.6270506968888
4.0,17.444431743682916
6.0,17.584503577460094
8.0,18.198524544483153
10.0,17.71602403749074
12.0,18.770716107688553
14.0,18.843204496963097
16.0,18.831035799361516
18.0,18.486963228755382
20.0,16.534896897211162
22.0,17.4041823115899
24.0,19.807774561131588
26.0,18.25950279693845
28.0,16.674292919290984
30.0,17.244492475778355
32.0,17.906022134914178
34.0,18.753705856348983
36.0,18.5881592471838
38.0,18.46183363326238
40.0,18.37120434341383
42.0,17.567067209121987
44.0,18.641932745447473
46.0,15.67185074765368
48.0,14.767821787243307
50.0,16.458286966445673
52.0,17.9505697015775
54.0,15.11565118415724
58.0,16.260810631712914
60.0,16.252688892216653
62.0,16.266570306730618
64.0,17.024791636043766
66.0,16.535102173623862
68.0,16.30609733100749
70.0,18.55405394920778
72.0,17.2213274795775
74.0,19.079416951506904
76.0,16.280700252077374
78.0,14.430177198168305
84.0,16.816063361513127
86.0,18.36859182486206
88.0,16.191861394792618
90.0,15.670010902516168
92.0,18.264842218129353
100.0,16.703763229179284
