isapercent,mean
0.0,28.627226524867535
2.0,32.45868840749582
4.0,32.78855334627792
6.0,32.88208591390433
8.0,33.223415292066896
10.0,33.05489911874002
12.0,33.13510275569932
14.0,32.98814087539322
16.0,32.62217222887898
18.0,32.15857633054908
20.0,33.71573477886031
22.0,33.16387961327925
24.0,33.515845308671025
26.0,33.70253482604989
28.0,33.49420055188966
30.0,33.38548079445802
32.0,33.391487044256266
34.0,33.492268762311326
36.0,33.52497743908397
38.0,33.34504553098036
40.0,33.28631702860172
42.0,34.19914375119064
44.0,33.83354666305716
46.0,33.42065900540863
48.0,33.86778691106495
50.0,33.28516135797569
52.0,35.42393087686154
54.0,33.54065729286217
56.0,33.63890715041946
58.0,33.50994921723982
60.0,34.44957175470554
62.0,34.42579252487855
64.0,34.44262135032233
66.0,34.7217628874621
68.0,34.514281034091546
70.0,34.441042422295276
72.0,34.8218445572676
74.0,34.6845649315141
76.0,33.946356109059735
78.0,34.16350913845763
80.0,34.02064925653226
82.0,34.09840644867562
84.0,34.664991935353335
86.0,34.11555676704068
88.0,34.08269193662016
90.0,34.024876033806365
92.0,34.188554888975546
94.0,33.42780549468922
96.0,34.0998723907739
98.0,34.20433071760053
100.0,31.7640632303329
