isapercent,mean
0.0,17.632223868757702
2.0,18.261091155320724
4.0,18.318502988783557
6.0,18.41960173257225
8.0,18.448211098899353
10.0,18.59750051692039
12.0,18.537973621660175
14.0,18.87057160246926
16.0,18.99611680448616
18.0,19.36863241286246
20.0,19.226771655339142
22.0,19.316813233582913
24.0,19.70256994125059
26.0,19.465348707715915
28.0,20.11239919241389
30.0,20.374315013037705
32.0,20.355380497527616
34.0,20.74714539068508
36.0,20.52375054402727
38.0,21.14627457967672
40.0,20.951724479256633
42.0,21.008124884755052
44.0,21.07229111527149
46.0,20.882743004188445
48.0,21.230112057287307
50.0,20.93438247822105
52.0,21.303155039378307
54.0,21.703763082008862
56.0,20.969160999594376
58.0,21.80175126475139
60.0,21.900191513189224
62.0,22.00933326222204
64.0,21.938940542205177
66.0,22.072777351506222
68.0,21.953594686364656
70.0,22.811840164930587
72.0,22.37169453259683
74.0,22.783868035851228
76.0,22.76474484550309
78.0,22.52590646390826
80.0,22.872956177577286
82.0,23.20872449818917
84.0,23.089502245344164
86.0,22.693803451707332
88.0,23.19506735926719
90.0,23.282505204786634
92.0,23.849383516595797
94.0,23.616248907850697
96.0,23.61116453248492
98.0,23.677990284105608
100.0,22.719697039332562
