isapercent,mean
0.0,21.312432917452703
2.0,19.771409827807393
4.0,19.763337954071325
6.0,20.24929126732098
8.0,19.772151656342597
10.0,21.407168383052195
12.0,20.50223110609963
14.0,20.661687263801
16.0,22.19301862063519
18.0,21.080534546380246
20.0,20.38519315253482
22.0,19.409413653578532
24.0,20.626455048790174
26.0,20.106064980664048
28.0,19.927962475541943
30.0,21.374152090996283
32.0,19.50222609002139
34.0,19.8055076850638
36.0,20.28415666258537
38.0,19.188160789988814
40.0,19.837331044321818
42.0,19.738172131625646
44.0,19.68380644066747
46.0,19.915248733891957
48.0,19.72168851882711
50.0,18.59739083484768
52.0,20.273784455885494
54.0,19.444125263583743
56.0,19.545556724465975
58.0,19.906139579472757
60.0,20.166295052769073
62.0,19.80387075568697
64.0,19.29595825393903
66.0,19.115577947452834
68.0,19.72065977713144
70.0,18.44873707419379
72.0,19.886891871592148
74.0,19.702886013872586
76.0,18.231464946979617
78.0,18.0612784508628
80.0,18.759254460557397
82.0,18.97794982424978
84.0,18.890777184865676
86.0,19.06299883944586
88.0,18.06838416758663
90.0,18.690092758330554
92.0,18.416086753627877
94.0,18.08623886454085
96.0,17.836805398652704
98.0,18.03967637368126
100.0,17.75534074831852
