isapercent,mean
0.0,12.098387469101388
2.0,12.793459928311373
4.0,13.649556440738403
6.0,13.819829557152124
8.0,13.857782953125934
10.0,14.200032341006864
12.0,14.53225106556739
14.0,14.477900112758936
16.0,14.785525627258185
18.0,14.668305543937572
20.0,14.75624646838763
22.0,15.037893316720105
24.0,15.327626756315848
26.0,15.477392865834226
28.0,14.919133899157105
30.0,15.130895568646375
32.0,15.322536607602716
34.0,15.062687811673173
36.0,14.574831304956748
38.0,14.563933608813397
40.0,14.4642349370403
42.0,14.727439136289094
44.0,14.801252885975464
46.0,14.659433948622443
48.0,14.742201993841299
50.0,14.913110945585025
52.0,15.078179487337596
54.0,15.032835954830064
56.0,15.438916869585379
58.0,15.177648558016118
60.0,15.363702033592071
62.0,15.305318912590439
64.0,14.774440037170285
66.0,15.091357982450308
68.0,14.514669004519527
70.0,14.746513629812243
72.0,14.743937130149726
74.0,14.30997214262789
76.0,14.103163217605902
78.0,14.37645090721219
80.0,14.551900591531682
82.0,14.619401539159615
84.0,14.590756287610622
86.0,14.753876354623179
88.0,14.975948442370717
90.0,14.622880539461848
92.0,14.782678382872389
94.0,15.22664395080836
96.0,15.585498453214504
98.0,15.275397565660501
100.0,15.825720407344122
