isapercent,mean
0.0,13.348349254685576
2.0,14.621485667206079
4.0,14.974076205823176
6.0,15.064755623472337
8.0,15.112846223198883
10.0,14.908133803444937
12.0,15.243973391734988
14.0,15.136675040749028
16.0,15.332604921969
18.0,15.378632889518151
20.0,15.524572658347005
22.0,15.343115915885427
24.0,15.508137081356608
26.0,15.755251254508188
28.0,15.591361424717412
30.0,15.574724442484618
32.0,15.892610262660568
34.0,15.797852314049733
36.0,15.760639937650561
38.0,15.940034190479075
40.0,16.192776793345292
42.0,16.23185968657438
44.0,16.42521423253438
46.0,16.27558020358877
48.0,16.4436794648595
50.0,16.655502041085114
52.0,16.737595870930196
54.0,16.828605839312623
56.0,16.828738306143993
58.0,16.889293120094134
60.0,16.958266449845855
62.0,17.05965785360379
64.0,17.340596695660174
66.0,17.109945797609075
68.0,17.158244115060455
70.0,16.93637456125721
72.0,17.0922740081604
74.0,16.99653430603525
76.0,17.071394382096432
78.0,17.331992295950908
80.0,17.180935434185038
82.0,16.904826073236986
84.0,17.426257018080992
86.0,17.338751962582037
88.0,17.135971170371192
90.0,17.36206288743011
92.0,17.286186270250806
94.0,17.53982265979543
96.0,17.816951177079225
98.0,18.07464082011421
100.0,17.997472268299198
