isapercent,mean
0.0,40.595738352468864
2.0,40.47823538724335
4.0,39.74729678012896
6.0,39.302579415455526
8.0,39.65900744447051
10.0,38.93190637068542
12.0,38.54354474265365
14.0,38.41083773269116
16.0,39.58647198303593
18.0,38.83692338857142
20.0,38.84919800614806
22.0,39.23246006594844
24.0,39.75854107840968
26.0,39.17418065074069
28.0,39.5776175388565
30.0,40.266369660717004
32.0,41.22930097542825
34.0,40.070786070363475
36.0,40.637101421267104
38.0,39.96850639648612
40.0,40.245220184907964
42.0,40.372714008146474
44.0,40.14009218973523
46.0,39.69461196493023
48.0,40.23846369385277
50.0,40.10930806106355
54.0,40.13476077438435
56.0,40.7562900019902
58.0,40.344708374711956
60.0,39.63490399808718
62.0,39.34055250121445
64.0,40.923663856053835
68.0,42.645928096969286
70.0,40.25501601174959
74.0,41.059121587307644
78.0,39.8504297627534
80.0,39.3197868619051
84.0,41.50195943744147
86.0,40.255896780742816
88.0,41.018635684858786
92.0,40.10105786097518
98.0,39.348385715669764
100.0,40.144763870491765
