isapercent,mean
0.0,5.447558046759153
2.0,6.407968873863784
4.0,6.327737698688269
6.0,6.428565267886447
8.0,6.496650039188034
10.0,6.361581097329584
12.0,6.0245159265300074
14.0,6.3170195609231286
16.0,6.266093080908468
18.0,6.318433493388782
20.0,6.529787263510341
22.0,6.549406860099085
24.0,6.436363499762465
26.0,6.515791552895524
28.0,6.358247967535198
30.0,7.0416072623825325
32.0,6.366766434477811
34.0,7.132171640453524
36.0,6.212417268798996
38.0,6.764019744557351
40.0,7.176774259631699
42.0,7.76357502101731
44.0,6.8653559874122525
46.0,7.593496965731662
48.0,7.227355803999961
50.0,7.55701308498017
52.0,7.944293442995252
54.0,7.414056266284965
56.0,8.29332492168147
58.0,7.595686537171043
60.0,6.970275386279761
62.0,7.694516990400377
64.0,7.5435002283878045
66.0,7.621487583582242
68.0,7.240688220879521
70.0,7.541570725911216
72.0,7.157516030694308
74.0,7.608065221711202
76.0,7.4473603289199835
78.0,7.324705156061402
80.0,7.4829821425359375
82.0,7.386678520547776
84.0,7.854208053407299
86.0,7.755213042122526
88.0,7.865301802836337
90.0,7.411833745915891
92.0,7.6546990012863585
94.0,7.926089877017645
96.0,8.004914362596152
98.0,8.33228911983354
100.0,8.730873469913696
