isapercent,mean
0.0,30.944882527273794
2.0,33.16565952265547
4.0,30.225432084444424
6.0,31.982743757686816
8.0,33.13770032767489
10.0,33.434795444331556
12.0,33.93439634787513
14.0,30.016228552921152
16.0,29.762449905135806
18.0,30.38044938559703
20.0,30.89862362247606
22.0,30.231350436917072
24.0,28.56708479831172
26.0,29.430791860750034
28.0,29.294414875676544
30.0,28.61230420413463
32.0,30.480566584019535
34.0,28.129590904401297
36.0,26.78197080112736
38.0,26.569421025551414
40.0,28.927075829273555
42.0,28.756981046987416
44.0,25.568043131808896
46.0,26.058391295315605
48.0,29.460699172486375
50.0,28.677574982037072
52.0,29.217945280673515
54.0,27.862990942140772
56.0,28.784618004609474
58.0,29.652161432474703
60.0,30.06148682405785
62.0,27.589298441225672
64.0,32.18520454618591
66.0,31.22531695941333
68.0,28.387545116218767
70.0,31.45242704015945
72.0,31.013906806302924
74.0,30.622636282503038
76.0,30.291693517655034
78.0,31.852183873608375
80.0,32.332855924634295
82.0,32.90673902535815
84.0,30.720214001269134
86.0,33.06086285132586
88.0,32.33445756453499
90.0,31.206111105902313
92.0,32.26640016210961
94.0,33.57363019895273
96.0,34.511407028814496
98.0,34.88993257021014
100.0,35.43734011042921
