isapercent,mean
0.0,39.03703118238546
2.0,39.41214936310684
4.0,40.93906683775509
6.0,34.84818219627803
8.0,38.664077446139295
10.0,38.816063348105494
12.0,37.69599491660186
14.0,37.61778024393822
16.0,38.39731678767305
18.0,39.32167040597986
20.0,39.63185845247274
22.0,36.19112474472938
24.0,34.002062239047596
26.0,36.8892320112458
28.0,36.85004096949252
32.0,35.53662813692436
34.0,36.575597935627655
36.0,33.20955587791423
38.0,39.3398372532285
40.0,40.33277877143295
42.0,40.289173884960604
44.0,41.26730125055411
46.0,39.50625150194571
48.0,38.82415098320928
50.0,41.234775013165724
54.0,31.60324752990815
56.0,41.252164709830915
64.0,40.880660237690286
66.0,35.8117945587291
68.0,36.29960760936366
70.0,39.44271306196008
72.0,39.53386010394834
74.0,40.77241745998857
76.0,39.85962565652617
78.0,40.57426401693103
82.0,40.983423926095945
90.0,40.59809283086979
100.0,40.16812938889431
