isapercent,mean
0.0,19.82584579716684
2.0,19.131661364019166
4.0,21.237528565555404
6.0,18.180152539619698
8.0,19.85968537455946
10.0,22.000668719509296
12.0,19.31291846544093
14.0,25.666750079781078
16.0,19.435502577327743
18.0,21.71622500054346
20.0,21.683039705717366
22.0,22.980296503873824
24.0,26.3001770553931
26.0,22.05307978272363
28.0,25.723819189985818
30.0,23.554027076595723
32.0,22.90753382981028
34.0,23.866536136421367
36.0,24.495118753651663
38.0,23.834821427994
40.0,24.216962958733294
42.0,26.498670809234913
44.0,24.937451453753646
46.0,24.675210970965228
48.0,24.374072289856016
50.0,25.710926786327274
52.0,24.609209106718133
54.0,27.513964411952095
56.0,25.20061130078039
58.0,26.13065043520317
60.0,25.26286085111954
62.0,26.147792499725966
64.0,24.378436980325787
66.0,26.137087655914257
68.0,23.41571915655781
70.0,26.50070252106221
72.0,25.649246753867505
74.0,24.93666910258029
76.0,26.143378927199645
78.0,27.523062124152396
80.0,26.996558452623844
82.0,26.728574718727213
84.0,27.23111508132638
86.0,27.626674830160503
88.0,27.618198947893287
90.0,27.86807911834692
92.0,28.637838226107373
94.0,28.27983092667203
96.0,28.699600916655392
98.0,28.78346463106985
100.0,28.67202611046037
