isapercent,mean
0.0,34.864459757698874
2.0,33.5438465956096
4.0,33.14555945613679
6.0,33.03995542840961
8.0,33.29859547592671
10.0,33.22198691180271
12.0,33.68018711749449
14.0,33.59193552084613
16.0,34.21690476120143
18.0,33.814579178137706
20.0,33.99071876844204
22.0,34.57143530263031
24.0,34.853112678804266
26.0,34.563481558753644
28.0,34.695140508046705
30.0,35.40536280294934
32.0,35.772225306156486
34.0,34.76295026130714
36.0,35.20965625498582
38.0,34.849608455738924
40.0,33.94325590219522
42.0,35.172913754696815
44.0,34.63019096235305
46.0,34.58955381211736
48.0,36.812140555543614
50.0,36.15027577845264
54.0,36.87256810704599
56.0,37.034511875808036
58.0,37.222544762983745
60.0,35.833565440979356
62.0,36.06332266850647
64.0,38.24384181693107
68.0,37.52088869276062
70.0,36.017551772230405
74.0,37.68066800994753
78.0,37.23375687320692
80.0,36.46252752706933
84.0,37.048757335429826
86.0,35.63528381405322
88.0,37.45836272943908
92.0,36.28462246511415
98.0,36.48297155721852
100.0,35.94934158996791
