isapercent,mean
0.0,15.677248331984854
2.0,14.84006527748052
4.0,15.534583821130798
6.0,15.203661281477363
8.0,14.743767255589317
10.0,14.020783061045798
12.0,14.19637427481167
14.0,14.084282379339466
16.0,16.430868030691784
18.0,14.340012274483174
20.0,14.165861124546288
22.0,15.04982642252821
24.0,14.799598458125194
26.0,14.703254982310968
28.0,14.657976178517021
32.0,15.17241937393504
34.0,15.716680026221407
36.0,14.807521605129537
38.0,13.458277639950163
40.0,14.607007144697437
42.0,14.49294037177926
44.0,15.098914252440109
46.0,14.32230383689664
48.0,13.937276096530033
50.0,14.55262762948927
54.0,14.385459652241448
56.0,14.259275400561432
64.0,14.26705136409694
66.0,13.423203695703888
68.0,12.951039058312546
70.0,14.176505593273172
72.0,13.904668005581712
74.0,14.637913474322852
76.0,14.27910604605277
78.0,14.566741738816873
82.0,14.574568666702147
90.0,14.503071922677865
100.0,13.389887176129085
