isapercent,mean
0.0,18.884099965366207
2.0,19.272805197906695
4.0,20.131945661726682
6.0,19.53145730508963
8.0,20.171740088300172
10.0,19.833375720637083
12.0,20.157894141372402
14.0,20.374845036537636
16.0,20.76407576482563
18.0,20.43265022235689
20.0,21.088035801286523
22.0,21.03449728857775
24.0,21.124730017522232
26.0,21.017132314644616
28.0,21.434644377347354
30.0,21.52594404203957
32.0,21.767032167863885
34.0,21.874051890371156
36.0,22.157729940851613
38.0,22.03353940953953
40.0,22.621980583317995
42.0,23.094686055663214
44.0,22.805598755166244
46.0,22.75974501206092
48.0,23.17046043528574
50.0,23.289276426497768
52.0,22.951355454017648
54.0,23.786240462518315
56.0,23.04871989548474
58.0,24.3777076836894
60.0,21.995152982436068
62.0,24.46970302843697
64.0,23.572284795543737
66.0,24.504471028811054
68.0,24.519575545497474
70.0,25.423605326229783
72.0,26.364247254539013
74.0,25.52779965009695
76.0,25.48620030501296
78.0,26.62472987197632
80.0,26.761299014771804
82.0,26.219806482193246
84.0,27.94229577213976
86.0,28.021073627413198
88.0,28.080385201483626
90.0,27.7147418586439
92.0,28.187914152877653
94.0,27.414664008805953
96.0,27.936417946603893
98.0,28.594648208458725
100.0,27.56062569808993
