isapercent,mean
8.0,22.48120709802035
10.0,24.717124137779987
12.0,25.661418496928338
16.0,23.320182659899245
20.0,23.081047242649074
22.0,24.168332496380067
24.0,22.444882967665208
26.0,22.9195924812212
28.0,22.647168430309396
30.0,24.382507683252296
32.0,22.975523404166438
34.0,23.485658232288312
36.0,23.896838342240237
38.0,23.95102244371845
40.0,24.190839625536345
42.0,24.28365600709478
44.0,26.77365427458454
46.0,21.00528777619823
48.0,25.675558453337246
50.0,23.77574937902828
52.0,21.36910424933501
54.0,24.278055732403644
56.0,23.71295382664358
58.0,25.273680970116263
60.0,26.424168364734285
62.0,25.000746158395916
64.0,24.455801355499744
66.0,25.063958540093413
70.0,24.62123695018427
72.0,25.7727652734709
74.0,25.76504275943775
76.0,26.812078848717174
78.0,25.95794658558421
80.0,25.860442510985564
82.0,24.498041015425567
84.0,26.481380216940313
86.0,26.499847102302436
88.0,23.80896056461006
90.0,26.35082705205074
92.0,25.40241269265444
94.0,25.372544489544087
96.0,26.09844153259535
98.0,27.5757287390936
100.0,28.109141515658838
