isapercent,mean
0.0,19.46933027181106
2.0,19.364924985519156
4.0,19.35156720053793
6.0,19.258244470591944
8.0,19.078989151132284
10.0,19.804261469797346
12.0,19.838871751379585
14.0,20.20291221113159
16.0,20.393830899472977
18.0,20.915969186657343
20.0,20.07785285986439
22.0,20.718995001683293
24.0,19.721223736354112
26.0,20.658067721084343
28.0,20.189062560153605
30.0,24.126554677334337
32.0,20.655898555849735
34.0,20.98382534237006
38.0,21.843204551702083
42.0,21.111607834704163
44.0,21.236525666942743
46.0,22.13379362118449
48.0,21.598650492360793
50.0,25.825684149209135
52.0,21.94830653656918
54.0,22.955813050944148
56.0,23.551663658641008
58.0,21.43032721698016
60.0,23.4144371780976
64.0,22.190850976384056
66.0,21.813120743159068
68.0,20.09937877542302
70.0,23.503048576774972
72.0,23.214158802851284
74.0,23.67420526556975
76.0,23.24456657065186
78.0,23.001567548717873
84.0,22.947535290662707
86.0,22.505328101749242
88.0,22.524002121564422
92.0,23.254394910852493
94.0,23.002397597611157
96.0,23.30507686033002
100.0,22.443031474110008
