isapercent,mean
0.0,12.243159973900001
2.0,11.696569786858852
4.0,11.59574664419973
6.0,12.127423882707028
8.0,12.389377166252192
10.0,12.944552398811277
12.0,12.59841470132693
14.0,12.655667571516126
16.0,13.84554590325355
18.0,13.426021657079488
20.0,12.68800271926442
22.0,12.67497267010022
24.0,13.771555857618372
26.0,13.532987564668765
28.0,13.666135180801287
30.0,14.161893516598234
32.0,13.773692887150515
34.0,14.761401758282497
36.0,13.468572746077918
38.0,13.396016716656176
40.0,14.427608961408218
42.0,14.694666196638169
44.0,14.795841381935434
46.0,13.60585087248284
48.0,14.270615859541714
50.0,14.3299662933936
52.0,13.791771282119443
54.0,14.68147430916479
56.0,14.870697964869535
58.0,13.908321312966333
60.0,14.713875300391733
62.0,13.260115320310954
64.0,14.11565022561117
66.0,14.394468036093343
68.0,13.324601108157374
70.0,13.990987658222133
72.0,13.589843466903055
74.0,13.573786412120096
76.0,13.196062571992648
78.0,13.574007600072889
80.0,13.425995560198881
82.0,13.239988191610054
84.0,13.229251482714192
86.0,13.0769641992999
88.0,12.979711480821127
90.0,13.01265168613598
92.0,12.90417074542559
94.0,12.638180325199757
96.0,12.546907004408922
98.0,12.286865367512874
100.0,11.653370723731918
