isapercent,mean
8.0,14.257997807363523
10.0,17.105997770488198
12.0,15.37784964092982
16.0,15.71561950416114
20.0,14.177935040015475
22.0,15.304653968106374
24.0,16.03797704756002
26.0,15.986719579609002
28.0,15.52876735006883
30.0,16.171987064086633
32.0,15.083607556151952
34.0,15.068312304808666
36.0,17.828186623824113
38.0,16.59387317678287
40.0,16.238333651055537
42.0,17.468245374776032
44.0,19.591727930404367
46.0,14.685983354713018
48.0,19.17118094217897
50.0,17.432902573312397
52.0,14.276450545495548
54.0,17.098866360461155
56.0,17.1945247412866
58.0,16.71431526123815
60.0,18.95850836258143
62.0,19.88578482485296
64.0,17.571716088561192
66.0,17.89250868579311
70.0,17.23511442689597
72.0,19.475532064252327
74.0,19.61366171137242
76.0,20.067792224013573
78.0,18.46153409093295
80.0,19.82962678841944
82.0,18.192973202603817
84.0,19.77476899591897
86.0,22.915603253266436
88.0,18.82732408349427
90.0,20.124732353050756
92.0,18.981566774732112
94.0,19.82748394734089
96.0,20.3084979284697
98.0,20.0734663222737
100.0,19.216050487060887
