isapercent,mean
0.0,19.340098298052744
2.0,22.733394345958942
4.0,23.08304886698142
6.0,22.759291957846
8.0,22.537933813759867
10.0,22.86265009919953
12.0,24.522563853414347
14.0,23.58030269848757
16.0,23.953240277651574
18.0,21.795764776326077
20.0,23.701616033495448
22.0,22.959625430259127
26.0,22.528587655767698
28.0,24.020476205744284
30.0,23.955656830869543
32.0,26.70765316779918
34.0,24.949836324096463
36.0,23.201258918459637
38.0,25.495562311845188
40.0,23.20654118193084
42.0,29.418335232973586
44.0,24.145378489433792
46.0,24.013265622762475
48.0,27.7812450308022
50.0,25.743240399779392
54.0,25.43929898040991
56.0,27.199385981437246
60.0,26.853074704766982
64.0,25.10124776353998
66.0,26.61319954162532
68.0,27.742618742061946
70.0,28.00951299452015
72.0,25.809478943782146
74.0,27.457850738938248
78.0,26.83365847407712
82.0,27.771745900584005
84.0,27.0998855134439
86.0,33.036875653347245
88.0,25.965685553722082
90.0,30.221964245048387
92.0,27.995854447219493
94.0,27.69232381675048
98.0,29.497516977867456
100.0,29.315946787800094
