isapercent,mean
0.0,30.935564706909986
2.0,29.978194876523556
4.0,29.968051168662594
6.0,29.5200052602261
8.0,29.8062291645148
10.0,29.856274122163004
12.0,30.677471962885264
14.0,30.626654678703797
16.0,30.68153762260912
18.0,31.73206386353536
20.0,30.386881216865742
22.0,30.935196341779672
24.0,30.677587951623014
26.0,30.105392671587595
28.0,30.60063384541604
30.0,33.58318656436575
32.0,31.729011916300305
34.0,31.421219039250975
38.0,32.49557386837817
42.0,31.11624453950422
44.0,31.180821565390342
46.0,31.340497425198482
48.0,32.094685385017385
50.0,34.32193628578012
52.0,31.564462026742266
54.0,32.382255862479084
56.0,33.264281927006
58.0,31.072208615685106
60.0,32.779573046621145
64.0,31.775397214239266
66.0,31.835870642839396
68.0,30.89107028293026
70.0,32.18671137606798
72.0,32.52357126097225
74.0,32.95225488088288
76.0,31.967992553602183
78.0,31.982707599296173
84.0,32.39578350015746
86.0,31.738935178256583
88.0,32.132528143338554
92.0,32.566692624930646
94.0,32.07966414351628
96.0,32.46590214033222
100.0,31.5834043545777
