isapercent,mean
14.0,31.01236532552457
18.0,32.70953402770701
26.0,32.87421861177686
28.0,29.322126036469523
30.0,30.24832420655456
32.0,33.46250434706044
34.0,32.39530153547299
36.0,32.21266435531998
40.0,31.89223450376705
42.0,33.15389281118056
44.0,30.488174108263888
46.0,29.787039642562778
48.0,32.38604569656644
50.0,29.78323372413675
52.0,31.334630202546943
56.0,32.40264553682005
58.0,33.31037050071561
60.0,32.88299789835026
62.0,33.77998631269883
68.0,31.079828153271404
70.0,34.749782606852285
72.0,33.02721784451687
74.0,33.018453660904264
76.0,31.640086072482625
80.0,33.361770911244335
82.0,33.419286280130244
92.0,31.038015691504626
96.0,33.95042199697163
100.0,30.63375812747393
